/tmp/nix-shell.wI2XoQ/RenderDoc/textured_terrain_test_2026.09.17_11.30.41_frame10.rdc - Frame #10

 EID  | Event                                                                                                              | Action #
190   | - => vkQueueSubmit(62)[30]: vkEndCommandBuffer(Baked Command Buffer 9399)                                          | 25    
191   | - => vkQueueSubmit(62)[31]: vkBeginCommandBuffer(Baked Command Buffer 9401)                                        | 25    
193   | - vkCmdCopyBuffer(arena_indirect_args_buffer, arena_readback_indirect_buffer)                                      | 25    
195   | - vkCmdCopyBuffer(arena_final_vertex_buffer, arena_readback_vertex_buffer)                                         | 26    
197   | - vkCmdCopyBuffer(arena_index_buffer, arena_readback_index_buffer)                                                 | 27    
199   | - vkCmdCopyBuffer(arena_overflow_flag_buffer, arena_overflow_readback_buffer)                                      | 28    
200   | - => vkQueueSubmit(62)[31]: vkEndCommandBuffer(Baked Command Buffer 9401)                                          | 29    
201   | - => vkQueueSubmit(62)[32]: vkBeginCommandBuffer(Baked Command Buffer 9403)                                        | 29    
202   | - => vkQueueSubmit(62)[32]: vkEndCommandBuffer(Baked Command Buffer 9403)                                          | 29    
203   | - => vkQueueSubmit(62)[33]: vkBeginCommandBuffer(Baked Command Buffer 9402)                                        | 29    
204   | - surface_nets_pass1_batched                                                                                       |       
207   |  \- vkCmdDispatch(5, 5, 840)                                                                                       | 29    
209   | - => vkQueueSubmit(62)[33]: vkEndCommandBuffer(Baked Command Buffer 9402)                                          | 30    
210   | - => vkQueueSubmit(62)[34]: vkBeginCommandBuffer(Baked Command Buffer 9405)                                        | 30    
212   | - => vkQueueSubmit(62)[34]: vkEndCommandBuffer(Baked Command Buffer 9405)                                          | 30    
213   | - => vkQueueSubmit(62)[35]: vkBeginCommandBuffer(Baked Command Buffer 9404)                                        | 30    
214   | - stream_compaction_scan_batched                                                                                   |       
217   |  \- vkCmdDispatch(1680, 1, 1)                                                                                      | 30    
219   | - => vkQueueSubmit(62)[35]: vkEndCommandBuffer(Baked Command Buffer 9404)                                          | 31    
220   | - => vkQueueSubmit(62)[36]: vkBeginCommandBuffer(Baked Command Buffer 9407)                                        | 31    
222   | - => vkQueueSubmit(62)[36]: vkEndCommandBuffer(Baked Command Buffer 9407)                                          | 31    
223   | - => vkQueueSubmit(62)[37]: vkBeginCommandBuffer(Baked Command Buffer 9406)                                        | 31    
224   | - stream_compaction_scan_block_sums_batched                                                                        |       
227   |  \- vkCmdDispatch(168, 1, 1)                                                                                       | 31    
229   | - => vkQueueSubmit(62)[37]: vkEndCommandBuffer(Baked Command Buffer 9406)                                          | 32    
230   | - => vkQueueSubmit(62)[38]: vkBeginCommandBuffer(Baked Command Buffer 9409)                                        | 32    
232   | - => vkQueueSubmit(62)[38]: vkEndCommandBuffer(Baked Command Buffer 9409)                                          | 32    
233   | - => vkQueueSubmit(62)[39]: vkBeginCommandBuffer(Baked Command Buffer 9408)                                        | 32    
234   | - stream_compaction_resolve_batched                                                                                |       
237   |  \- vkCmdDispatch(1680, 1, 1)                                                                                      | 32    
239   | - => vkQueueSubmit(62)[39]: vkEndCommandBuffer(Baked Command Buffer 9408)                                          | 33    
240   | - => vkQueueSubmit(62)[40]: vkBeginCommandBuffer(Baked Command Buffer 9411)                                        | 33    
242   | - => vkQueueSubmit(62)[40]: vkEndCommandBuffer(Baked Command Buffer 9411)                                          | 33    
243   | - => vkQueueSubmit(62)[41]: vkBeginCommandBuffer(Baked Command Buffer 9410)                                        | 33    
244   | - stream_compaction_write_active_counts                                                                            |       
247   |  \- vkCmdDispatch(168, 1, 1)                                                                                       | 33    
249   | - => vkQueueSubmit(62)[41]: vkEndCommandBuffer(Baked Command Buffer 9410)                                          | 34    
250   | - => vkQueueSubmit(62)[42]: vkBeginCommandBuffer(Baked Command Buffer 9413)                                        | 34    
252   | - => vkQueueSubmit(62)[42]: vkEndCommandBuffer(Baked Command Buffer 9413)                                          | 34    
253   | - => vkQueueSubmit(62)[43]: vkBeginCommandBuffer(Baked Command Buffer 9412)                                        | 34    
254   | - compute_chunk_bases                                                                                              |       
257   |  \- vkCmdDispatch(1, 1, 1)                                                                                         | 34    
259   | - => vkQueueSubmit(62)[43]: vkEndCommandBuffer(Baked Command Buffer 9412)                                          | 35    
260   | - => vkQueueSubmit(62)[44]: vkBeginCommandBuffer(Baked Command Buffer 9415)                                        | 35    
262   | - => vkQueueSubmit(62)[44]: vkEndCommandBuffer(Baked Command Buffer 9415)                                          | 35    
263   | - => vkQueueSubmit(62)[45]: vkBeginCommandBuffer(Baked Command Buffer 9414)                                        | 35    
264   | - surface_nets_pass3_batched                                                                                       |       
267   |  \- vkCmdDispatch(3, 3, 504)                                                                                       | 35    
269   | - => vkQueueSubmit(62)[45]: vkEndCommandBuffer(Baked Command Buffer 9414)                                          | 36    
270   | - => vkQueueSubmit(62)[46]: vkBeginCommandBuffer(Baked Command Buffer 9416)                                        | 36    
272   | - vkCmdCopyBuffer(arena_indirect_args_buffer, arena_readback_indirect_buffer)                                      | 36    
274   | - vkCmdCopyBuffer(arena_final_vertex_buffer, arena_readback_vertex_buffer)                                         | 37    
276   | - vkCmdCopyBuffer(arena_index_buffer, arena_readback_index_buffer)                                                 | 38    
278   | - vkCmdCopyBuffer(arena_overflow_flag_buffer, arena_overflow_readback_buffer)                                      | 39    
279   | - => vkQueueSubmit(62)[46]: vkEndCommandBuffer(Baked Command Buffer 9416)                                          | 40    
280   | - => vkQueueSubmit(62)[47]: vkBeginCommandBuffer(Baked Command Buffer 9418)                                        | 40    
281   | - => vkQueueSubmit(62)[47]: vkEndCommandBuffer(Baked Command Buffer 9418)                                          | 40    
282   | - => vkQueueSubmit(62)[48]: vkBeginCommandBuffer(Baked Command Buffer 9417)                                        | 40    
283   | - surface_nets_pass1_batched                                                                                       |       
286   |  \- vkCmdDispatch(2, 2, 304)                                                                                       | 40    
288   | - => vkQueueSubmit(62)[48]: vkEndCommandBuffer(Baked Command Buffer 9417)                                          | 41    
289   | - => vkQueueSubmit(62)[49]: vkBeginCommandBuffer(Baked Command Buffer 9420)                                        | 41    
291   | - => vkQueueSubmit(62)[49]: vkEndCommandBuffer(Baked Command Buffer 9420)                                          | 41    
292   | - => vkQueueSubmit(62)[50]: vkBeginCommandBuffer(Baked Command Buffer 9419)                                        | 41    
293   | - stream_compaction_scan_batched                                                                                   |       
296   |  \- vkCmdDispatch(152, 1, 1)                                                                                       | 41    
298   | - => vkQueueSubmit(62)[50]: vkEndCommandBuffer(Baked Command Buffer 9419)                                          | 42    
299   | - => vkQueueSubmit(62)[51]: vkBeginCommandBuffer(Baked Command Buffer 9422)                                        | 42    
301   | - => vkQueueSubmit(62)[51]: vkEndCommandBuffer(Baked Command Buffer 9422)                                          | 42    
302   | - => vkQueueSubmit(62)[52]: vkBeginCommandBuffer(Baked Command Buffer 9421)                                        | 42    
303   | - stream_compaction_scan_block_sums_batched                                                                        |       
306   |  \- vkCmdDispatch(152, 1, 1)                                                                                       | 42    
308   | - => vkQueueSubmit(62)[52]: vkEndCommandBuffer(Baked Command Buffer 9421)                                          | 43    
309   | - => vkQueueSubmit(62)[53]: vkBeginCommandBuffer(Baked Command Buffer 9424)                                        | 43    
311   | - => vkQueueSubmit(62)[53]: vkEndCommandBuffer(Baked Command Buffer 9424)                                          | 43    
312   | - => vkQueueSubmit(62)[54]: vkBeginCommandBuffer(Baked Command Buffer 9423)                                        | 43    
313   | - stream_compaction_resolve_batched                                                                                |       
316   |  \- vkCmdDispatch(152, 1, 1)                                                                                       | 43    
318   | - => vkQueueSubmit(62)[54]: vkEndCommandBuffer(Baked Command Buffer 9423)                                          | 44    
319   | - => vkQueueSubmit(62)[55]: vkBeginCommandBuffer(Baked Command Buffer 9426)                                        | 44    
321   | - => vkQueueSubmit(62)[55]: vkEndCommandBuffer(Baked Command Buffer 9426)                                          | 44    
322   | - => vkQueueSubmit(62)[56]: vkBeginCommandBuffer(Baked Command Buffer 9425)                                        | 44    
323   | - stream_compaction_write_active_counts                                                                            |       
326   |  \- vkCmdDispatch(152, 1, 1)                                                                                       | 44    
328   | - => vkQueueSubmit(62)[56]: vkEndCommandBuffer(Baked Command Buffer 9425)                                          | 45    
329   | - => vkQueueSubmit(62)[57]: vkBeginCommandBuffer(Baked Command Buffer 9428)                                        | 45    
331   | - => vkQueueSubmit(62)[57]: vkEndCommandBuffer(Baked Command Buffer 9428)                                          | 45    
332   | - => vkQueueSubmit(62)[58]: vkBeginCommandBuffer(Baked Command Buffer 9427)                                        | 45    
333   | - compute_chunk_bases                                                                                              |       
336   |  \- vkCmdDispatch(1, 1, 1)                                                                                         | 45    
338   | - => vkQueueSubmit(62)[58]: vkEndCommandBuffer(Baked Command Buffer 9427)                                          | 46    
339   | - => vkQueueSubmit(62)[59]: vkBeginCommandBuffer(Baked Command Buffer 9430)                                        | 46    
341   | - => vkQueueSubmit(62)[59]: vkEndCommandBuffer(Baked Command Buffer 9430)                                          | 46    
342   | - => vkQueueSubmit(62)[60]: vkBeginCommandBuffer(Baked Command Buffer 9429)                                        | 46    
343   | - surface_nets_pass3_batched                                                                                       |       
346   |  \- vkCmdDispatch(1, 1, 152)                                                                                       | 46    
348   | - => vkQueueSubmit(62)[60]: vkEndCommandBuffer(Baked Command Buffer 9429)                                          | 47    
349   | - => vkQueueSubmit(62)[61]: vkBeginCommandBuffer(Baked Command Buffer 9431)                                        | 47    
351   | - vkCmdCopyBuffer(arena_indirect_args_buffer, arena_readback_indirect_buffer)                                      | 47    
353   | - vkCmdCopyBuffer(arena_final_vertex_buffer, arena_readback_vertex_buffer)                                         | 48    
355   | - vkCmdCopyBuffer(arena_index_buffer, arena_readback_index_buffer)                                                 | 49    
357   | - vkCmdCopyBuffer(arena_overflow_flag_buffer, arena_overflow_readback_buffer)                                      | 50    
358   | - => vkQueueSubmit(62)[61]: vkEndCommandBuffer(Baked Command Buffer 9431)                                          | 51    
390   | - => vkQueueSubmit(33)[0]: vkBeginCommandBuffer(Baked Command Buffer 9494)                                         | 51    
392   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 51    
394   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 52    
