/tmp/nix-shell.IFOJvY/RenderDoc/sphere_test_2026.08.29_17.33.31_frame4.rdc - Frame #4

 EID  | Event                                                                                                  | Action #
177   | - => vkQueueSubmit(82)[30]: vkEndCommandBuffer(Baked Command Buffer 2054)                              | 27    
178   | - => vkQueueSubmit(82)[31]: vkBeginCommandBuffer(Baked Command Buffer 2053)                            | 27    
179   | - surface_nets_pass3                                                                                   |       
182   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 27    
184   | - => vkQueueSubmit(82)[31]: vkEndCommandBuffer(Baked Command Buffer 2053)                              | 28    
185   | - => vkQueueSubmit(82)[32]: vkBeginCommandBuffer(Baked Command Buffer 2056)                            | 28    
186   | - => vkQueueSubmit(82)[32]: vkEndCommandBuffer(Baked Command Buffer 2056)                              | 28    
187   | - => vkQueueSubmit(82)[33]: vkBeginCommandBuffer(Baked Command Buffer 2055)                            | 28    
188   | - surface_nets_pass1                                                                                   |       
191   |  \- vkCmdDispatch(8, 8, 8)                                                                             | 28    
193   | - => vkQueueSubmit(82)[33]: vkEndCommandBuffer(Baked Command Buffer 2055)                              | 29    
194   | - => vkQueueSubmit(82)[34]: vkBeginCommandBuffer(Baked Command Buffer 2090)                            | 29    
196   | - => vkQueueSubmit(82)[34]: vkEndCommandBuffer(Baked Command Buffer 2090)                              | 29    
197   | - => vkQueueSubmit(82)[35]: vkBeginCommandBuffer(Baked Command Buffer 2089)                            | 29    
198   | - stream_compaction_scan                                                                               |       
201   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 29    
203   | - => vkQueueSubmit(82)[35]: vkEndCommandBuffer(Baked Command Buffer 2089)                              | 30    
204   | - => vkQueueSubmit(82)[36]: vkBeginCommandBuffer(Baked Command Buffer 2092)                            | 30    
206   | - => vkQueueSubmit(82)[36]: vkEndCommandBuffer(Baked Command Buffer 2092)                              | 30    
207   | - => vkQueueSubmit(82)[37]: vkBeginCommandBuffer(Baked Command Buffer 2091)                            | 30    
208   | - stream_compaction_scan_block_sums                                                                    |       
211   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 30    
213   | - => vkQueueSubmit(82)[37]: vkEndCommandBuffer(Baked Command Buffer 2091)                              | 31    
214   | - => vkQueueSubmit(82)[38]: vkBeginCommandBuffer(Baked Command Buffer 2094)                            | 31    
216   | - => vkQueueSubmit(82)[38]: vkEndCommandBuffer(Baked Command Buffer 2094)                              | 31    
217   | - => vkQueueSubmit(82)[39]: vkBeginCommandBuffer(Baked Command Buffer 2093)                            | 31    
218   | - stream_compaction_resolve                                                                            |       
221   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 31    
223   | - => vkQueueSubmit(82)[39]: vkEndCommandBuffer(Baked Command Buffer 2093)                              | 32    
224   | - => vkQueueSubmit(82)[40]: vkBeginCommandBuffer(Baked Command Buffer 2096)                            | 32    
226   | - => vkQueueSubmit(82)[40]: vkEndCommandBuffer(Baked Command Buffer 2096)                              | 32    
227   | - => vkQueueSubmit(82)[41]: vkBeginCommandBuffer(Baked Command Buffer 2095)                            | 32    
228   | - surface_nets_pass3                                                                                   |       
231   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 32    
233   | - => vkQueueSubmit(82)[41]: vkEndCommandBuffer(Baked Command Buffer 2095)                              | 33    
234   | - => vkQueueSubmit(82)[42]: vkBeginCommandBuffer(Baked Command Buffer 2098)                            | 33    
235   | - => vkQueueSubmit(82)[42]: vkEndCommandBuffer(Baked Command Buffer 2098)                              | 33    
